Wed Dec  8 01:16:53 EST 2021,single-node-vgg19-cifar10-epochs1-batchsize16-job-0,job_config_single-node-vgg19-cifar10-epochs1-batchsize16.yaml,2
Wed Dec  8 01:16:56 EST 2021,inference-densenet169-goose4-job-0,job_config_inference-densenet169-goose4.yaml,4
Wed Dec  8 01:17:00 EST 2021,inference-resnet50-hen2-job-0,job_config_inference-resnet50-hen2.yaml,0
Wed Dec  8 01:17:00 EST 2021,inference-resnet18-goose4-job-0,job_config_inference-resnet18-goose4.yaml,2
Wed Dec  8 01:17:07 EST 2021,inference-resnet101-goose1-job-0,job_config_inference-resnet101-goose1.yaml,0
Wed Dec  8 01:17:07 EST 2021,inference-vgg16-cat2-job-0,job_config_inference-vgg16-cat2.yaml,3
Wed Dec  8 01:17:10 EST 2021,inference-densenet121-cat3-job-0,job_config_inference-densenet121-cat3.yaml,1
Wed Dec  8 01:17:11 EST 2021,inference-vgg13-tigershark4-job-0,job_config_inference-vgg13-tigershark4.yaml,0
Wed Dec  8 01:17:11 EST 2021,inference-densenet169-tigershark3-job-0,job_config_inference-densenet169-tigershark3.yaml,1
Wed Dec  8 01:17:13 EST 2021,inference-vgg16-goose3-job-0,job_config_inference-vgg16-goose3.yaml,2
Wed Dec  8 01:17:15 EST 2021,inference-densenet201-dog1-job-0,job_config_inference-densenet201-dog1.yaml,5
Wed Dec  8 01:17:20 EST 2021,inference-resnet18-snail1-job-0,job_config_inference-resnet18-snail1.yaml,1
Wed Dec  8 01:17:21 EST 2021,inference-resnet34-goose1-job-0,job_config_inference-resnet34-goose1.yaml,0
Wed Dec  8 01:17:21 EST 2021,inference-resnet101-goose5-job-0,job_config_inference-resnet101-goose5.yaml,0
Wed Dec  8 01:17:21 EST 2021,single-node-resnet18-cifar10-epochs1-batchsize16-job-0,job_config_single-node-resnet18-cifar10-epochs1-batchsize16.yaml,4
Wed Dec  8 01:17:25 EST 2021,inference-resnet101-goose2-job-0,job_config_inference-resnet101-goose2.yaml,2
Wed Dec  8 01:17:27 EST 2021,inference-vgg16-cat1-job-0,job_config_inference-vgg16-cat1.yaml,4
Wed Dec  8 01:17:35 EST 2021,inference-resnet34-tigershark4-job-0,job_config_inference-resnet34-tigershark4.yaml,5
Wed Dec  8 01:17:40 EST 2021,inference-resnet101-cat1-job-0,job_config_inference-resnet101-cat1.yaml,5
Wed Dec  8 01:17:45 EST 2021,inference-vgg16-hen2-job-0,job_config_inference-vgg16-hen2.yaml,3
Wed Dec  8 01:17:48 EST 2021,inference-densenet201-dog4-job-0,job_config_inference-densenet201-dog4.yaml,3
Wed Dec  8 01:17:54 EST 2021,inference-vgg19-goose4-job-0,job_config_inference-vgg19-goose4.yaml,3
Wed Dec  8 01:17:58 EST 2021,inference-resnet18-dog3-job-0,job_config_inference-resnet18-dog3.yaml,2
Wed Dec  8 01:18:00 EST 2021,single-node-densenet201-cifar10-epochs1-batchsize16-job-0,job_config_single-node-densenet201-cifar10-epochs1-batchsize16.yaml,1
Wed Dec  8 01:18:01 EST 2021,single-node-vgg16-cifar10-epochs1-batchsize32-job-0,job_config_single-node-vgg16-cifar10-epochs1-batchsize32.yaml,1
Wed Dec  8 01:18:02 EST 2021,inference-resnet152-dog3-job-0,job_config_inference-resnet152-dog3.yaml,3
Wed Dec  8 01:18:05 EST 2021,inference-vgg13-hen1-job-0,job_config_inference-vgg13-hen1.yaml,3
