model,batchsize,activations,parameters,input,peak mem usage,Pipelines/CUDA cores,Memory bandwidth (GB/s),Memory clock speed (MHz),Tensor cores,SM count
resnet101,16,2808.64,169.94,9.19,3987,10496,935.8,19495,328,82
resnet101,32,5617.28,169.94,18.38,6245,10496,935.8,19495,328,82
resnet101,64,11234.56,169.94,36.75,10909,10496,935.8,19495,328,82
resnet152,8,1983.12,229.62,4.59,2616,2496,240.6,5012,0,13
resnet152,16,3966.24,229.62,9.19,4010,2496,240.6,5012,0,13
resnet152,32,7932.48,229.62,18.38,7060,2496,240.6,5012,0,13
resnet152,64,15864.96,229.62,36.75,12053,2496,240.6,5012,0,13
resnet152,8,1983.12,229.62,4.59,3216,2560,448,14000,320,40
resnet152,16,3966.24,229.62,9.19,4628,2560,448,14000,320,40
resnet152,32,7932.48,229.62,18.38,7630,2560,448,14000,320,40
resnet152,64,15864.96,229.62,36.75,12540,2560,448,14000,320,40
resnet152,8,1983.12,229.62,4.59,3385,5888,512,16000,184,46
resnet152,16,3966.24,229.62,9.19,4827,5888,512,16000,184,46
resnet152,32,7932.48,229.62,18.38,7907,5888,512,16000,184,46
resnet152,64,15864.96,229.62,36.75,13982,5888,512,16000,184,46
resnet152,8,1983.12,229.62,4.59,3455,5120,900,1752,640,80
resnet152,16,3966.24,229.62,9.19,4847,5120,900,1752,640,80
resnet152,32,7932.48,229.62,18.38,7893,5120,900,1752,640,80
resnet152,64,15864.96,229.62,36.75,13821,5120,900,1752,640,80
resnet152,8,1983.12,229.62,4.59,3513,10496,935.8,19495,328,82
resnet152,16,3966.24,229.62,9.19,4955,10496,935.8,19495,328,82
resnet152,32,7932.48,229.62,18.38,8035,10496,935.8,19495,328,82
resnet152,64,15864.96,229.62,36.75,14285,10496,935.8,19495,328,82
densenet121,8,1625.52,30.75,4.59,1646,2496,240.6,5012,0,13
densenet121,16,3251.04,30.75,9.19,2762,2496,240.6,5012,0,13
densenet121,32,6502.08,30.75,18.38,5052,2496,240.6,5012,0,13
densenet121,64,13004.16,30.75,36.75,10138,2496,240.6,5012,0,13
densenet121,8,1625.52,30.75,4.59,2170,2560,448,14000,320,40
densenet121,16,3251.04,30.75,9.19,3364,2560,448,14000,320,40
densenet121,32,6502.08,30.75,18.38,5808,2560,448,14000,320,40
densenet121,64,13004.16,30.75,36.75,10240,2560,448,14000,320,40
densenet121,8,1625.52,30.75,4.59,2467,5888,512,16000,184,46
densenet121,16,3251.04,30.75,9.19,3639,5888,512,16000,184,46
densenet121,32,6502.08,30.75,18.38,5781,5888,512,16000,184,46
densenet121,64,13004.16,30.75,36.75,10510,5888,512,16000,184,46
densenet121,8,1625.52,30.75,4.59,2559,5120,900,1752,640,80
densenet121,16,3251.04,30.75,9.19,3675,5120,900,1752,640,80
densenet121,32,6502.08,30.75,18.38,6013,5120,900,1752,640,80
densenet121,64,13004.16,30.75,36.75,10571,5120,900,1752,640,80
densenet121,8,1625.52,30.75,4.59,2595,10496,935.8,19495,328,82
densenet121,16,3251.04,30.75,9.19,3767,10496,935.8,19495,328,82
densenet121,32,6502.08,30.75,18.38,5909,10496,935.8,19495,328,82
densenet121,64,13004.16,30.75,36.75,10083,10496,935.8,19495,328,82
densenet169,8,2001.26,54.58,4.59,1922,2496,240.6,5012,0,13
densenet169,16,4002.53,54.58,9.19,3284,2496,240.6,5012,0,13
densenet169,32,8004.8,54.58,18.38,6066,2496,240.6,5012,0,13
densenet169,64,16009.6,54.58,36.75,11414,2496,240.6,5012,0,13
densenet169,8,2001.26,54.58,4.59,2468,2560,448,14000,320,40
densenet169,16,4002.53,54.58,9.19,3882,2560,448,14000,320,40
densenet169,32,8004.8,54.58,18.38,6538,2560,448,14000,320,40
densenet169,64,16009.6,54.58,36.75,11540,2560,448,14000,320,40
densenet169,8,2001.26,54.58,4.59,2699,5888,512,16000,184,46
densenet169,16,4002.53,54.58,9.19,4149,5888,512,16000,184,46
densenet169,32,8004.8,54.58,18.38,6767,5888,512,16000,184,46
densenet169,64,16009.6,54.58,36.75,11654,5888,512,16000,184,46
densenet169,8,2001.26,54.58,4.59,2807,5120,900,1752,640,80
densenet169,16,4002.53,54.58,9.19,4183,5120,900,1752,640,80
densenet169,32,8004.8,54.58,18.38,6969,5120,900,1752,640,80
densenet169,64,16009.6,54.58,36.75,11680,5120,900,1752,640,80
densenet169,8,2001.26,54.58,4.59,2827,10496,935.8,19495,328,82
densenet169,16,4002.53,54.58,9.19,4277,10496,935.8,19495,328,82
densenet169,32,8004.8,54.58,18.38,6895,10496,935.8,19495,328,82
densenet169,64,16009.6,54.58,36.75,11855,10496,935.8,19495,328,82
densenet201,8,2610.24,77.22,4.59,2370,2496,240.6,5012,0,13
densenet201,16,5220.48,77.22,9.19,4112,2496,240.6,5012,0,13
densenet201,32,10440.96,77.22,18.38,7642,2496,240.6,5012,0,13
densenet201,64,20881.92,77.22,36.75,14026,2496,240.6,5012,0,13
densenet201,8,2610.24,77.22,4.59,2918,2560,448,14000,320,40
densenet201,16,5220.48,77.22,9.19,4736,2560,448,14000,320,40
densenet201,32,10440.96,77.22,18.38,7920,2560,448,14000,320,40
densenet201,64,20881.92,77.22,36.75,14145,2560,448,14000,320,40
densenet201,8,2610.24,77.22,4.59,3169,5888,512,16000,184,46
